ls.n37518:praedico2, verb#2
ls.n10732:contamino, infinitive#2
ls.n38866:prope, indeclinable#2
ls.n50793:via, noun#2
ls.n1021:adulescens, adjective#2
ls.n9199:columna, noun#2
ls.n9404:committo, verb#2
ls.n18884:frumentum, noun#2
ls.n30954:nihil, noun#2
ls.n44968:sperno, verb#2
ls.n19461:gens, noun#2
ls.n1094:adversus2, indeclinable#2
ls.n10692:consultum, noun#2
ls.n42211:saepe, adverb#2
ls.n30872:nex, noun#2
ls.n43263:secum, indeclinable#2
ls.n44698:solvo, participle#2
ls.n31073:noceo, infinitive#2
ls.n29412:moenia1, noun#2
ls.n49795:undique, adverb#2
ls.n24136:intendo, infinitive#2
ls.n41527:retro, adverb#2
ls.n12030:curro, participle#2
ls.n24575:intra, adverb#2
ls.n34005:parvus, adverb#2
ls.n34910:perficio, infinitive#2
ls.n8479:clamor, noun#2
ls.n26169:legatus, noun#2
ls.n13352:desero2, verb#2
ls.n6010:caedes, noun#2
ls.n31308:novus, adverb#2
ls.n29160:minitor, participle#2
ls.n44920:speciosus, adjective#2
ls.n10977:convenio, verb#2
ls.n18704:frango, verb#2
ls.n41554:reus, adjective#2
ls.n44395:singulus, adjective#2
ls.n21919:impetus, noun#2
ls.n8518:classis, noun#2
ls.n47983:testor, gerund#2
ls.n43940:servio, verb#2
ls.n37310:potis, adverb#2
ls.n18726:fraudo, verb#2
ls.n29242:misceo, infinitive#2
ls.n33992:parum, adverb#1
ls.n19114:Furius, noun#1
ls.n87:abigo, verb#1
ls.n43412:semel, adverb#1
ls.n28593:memini, verb#1
ls.n30981:nimis, adverb#1
ls.n34182:paucus, adjective#1
ls.n34095:pateo, verb#1
ls.n37168:posco, verb#1
lexent.n65, infinitive#1
ls.n29185:minus1, adverb#1
ls.n1846:alimentum, noun#1
ls.n8979:coitus2, noun#1
ls.n50077:vado1, verb#1
ls.n3749:arripio, participle#1
ls.n40264:quodammodo, adverb#1
ls.n4442:audacia, noun#1
ls.n49558:tutus, adjective#1
